variant,animal id,age,tissue id,xna,route,tissue,count
AAV.CAP-B22,RM-004,infant,7,RNA,lp,brain,1999
AAV.CAP-B22,RM-004,infant,8,RNA,lp,brain,629
AAV.CAP-B22,RM-004,infant,9,RNA,lp,brain,8711
AAV.CAP-B22,RM-004,infant,10,RNA,lp,brain,30964
AAV.CAP-B22,RM-004,infant,1,RNA,lp,liver,3306
AAV.CAP-B10,RM-004,infant,1,RNA,lp,brain,329357
AAV.CAP-B10,RM-004,infant,2,RNA,lp,brain,5696
AAV.CAP-B10,RM-004,infant,3,RNA,lp,brain,63
AAV.CAP-B10,RM-004,infant,4,RNA,lp,brain,472
AAV.CAP-B10,RM-004,infant,5,RNA,lp,brain,13423
AAV.CAP-B10,RM-004,infant,6,RNA,lp,brain,15193
AAV.CAP-B10,RM-004,infant,7,RNA,lp,brain,390
AAV.CAP-B10,RM-004,infant,8,RNA,lp,brain,53
AAV.CAP-B10,RM-004,infant,9,RNA,lp,brain,1786
AAV.CAP-B10,RM-004,infant,10,RNA,lp,brain,6555
AAV.CAP-B10,RM-004,infant,1,RNA,lp,liver,811
AAV9.452sub-LUNG1,RM-003,infant,1,RNA,lp,brain,96293
AAV9.452sub-LUNG1,RM-003,infant,2,RNA,lp,brain,32089
AAV9.452sub-LUNG1,RM-003,infant,3,RNA,lp,brain,309410
AAV9.452sub-LUNG1,RM-003,infant,4,RNA,lp,brain,234800
AAV9.452sub-LUNG1,RM-003,infant,5,RNA,lp,brain,367333
AAV9.452sub-LUNG1,RM-003,infant,6,RNA,lp,brain,137256
AAV9.452sub-LUNG1,RM-003,infant,7,RNA,lp,brain,15379
AAV9.452sub-LUNG1,RM-003,infant,8,RNA,lp,brain,211375
AAV9.452sub-LUNG1,RM-003,infant,9,RNA,lp,brain,121119
AAV9.452sub-LUNG1,RM-003,infant,1,RNA,lp,liver,65305
AAV.CAP-Mac,RM-003,infant,1,RNA,lp,brain,238818
AAV.CAP-Mac,RM-003,infant,2,RNA,lp,brain,317184
AAV.CAP-Mac,RM-003,infant,3,RNA,lp,brain,227350
AAV.CAP-Mac,RM-003,infant,4,RNA,lp,brain,220916
AAV.CAP-Mac,RM-003,infant,5,RNA,lp,brain,232951
AAV.CAP-Mac,RM-003,infant,6,RNA,lp,brain,216212
AAV.CAP-Mac,RM-003,infant,7,RNA,lp,brain,56817
AAV.CAP-Mac,RM-003,infant,8,RNA,lp,brain,233613
AAV.CAP-Mac,RM-003,infant,9,RNA,lp,brain,261373
AAV.CAP-Mac,RM-003,infant,1,RNA,lp,liver,120040
AAV.CAP-B2,RM-003,infant,1,RNA,lp,brain,164816
AAV.CAP-B2,RM-003,infant,2,RNA,lp,brain,26030
AAV.CAP-B2,RM-003,infant,3,RNA,lp,brain,111985
AAV.CAP-B2,RM-003,infant,4,RNA,lp,brain,125328
AAV.CAP-B2,RM-003,infant,5,RNA,lp,brain,146520
AAV.CAP-B2,RM-003,infant,6,RNA,lp,brain,100679
AAV.CAP-B2,RM-003,infant,7,RNA,lp,brain,11201
AAV.CAP-B2,RM-003,infant,8,RNA,lp,brain,143097
AAV.CAP-B2,RM-003,infant,9,RNA,lp,brain,39702
AAV.CAP-B2,RM-003,infant,1,RNA,lp,liver,3332
AAV.CAP-C2,RM-003,infant,1,RNA,lp,brain,83867
AAV.CAP-C2,RM-003,infant,2,RNA,lp,brain,104480
AAV.CAP-C2,RM-003,infant,3,RNA,lp,brain,67783
AAV.CAP-C2,RM-003,infant,4,RNA,lp,brain,49750
AAV.CAP-C2,RM-003,infant,5,RNA,lp,brain,40398
AAV.CAP-C2,RM-003,infant,6,RNA,lp,brain,46523
AAV.CAP-C2,RM-003,infant,7,RNA,lp,brain,8353
AAV.CAP-C2,RM-003,infant,8,RNA,lp,brain,1703
AAV.CAP-C2,RM-003,infant,9,RNA,lp,brain,17593
AAV.CAP-C2,RM-003,infant,1,RNA,lp,liver,2003
AAV9,RM-003,infant,1,RNA,lp,brain,25603
AAV9,RM-003,infant,2,RNA,lp,brain,8686
AAV9,RM-003,infant,3,RNA,lp,brain,1714
AAV9,RM-003,infant,4,RNA,lp,brain,15048
AAV9,RM-003,infant,5,RNA,lp,brain,31605
AAV9,RM-003,infant,6,RNA,lp,brain,36257
AAV9,RM-003,infant,7,RNA,lp,brain,3786
AAV9,RM-003,infant,8,RNA,lp,brain,1141
AAV9,RM-003,infant,9,RNA,lp,brain,6123
AAV9,RM-003,infant,1,RNA,lp,liver,79999
AAV.CAP-B22,RM-003,infant,1,RNA,lp,brain,17887
AAV.CAP-B22,RM-003,infant,2,RNA,lp,brain,6084
AAV.CAP-B22,RM-003,infant,3,RNA,lp,brain,77416
AAV.CAP-B22,RM-003,infant,4,RNA,lp,brain,13789
AAV.CAP-B22,RM-003,infant,5,RNA,lp,brain,62614
AAV.CAP-B22,RM-003,infant,6,RNA,lp,brain,23948
AAV.CAP-B22,RM-003,infant,7,RNA,lp,brain,2869
AAV.CAP-B22,RM-003,infant,8,RNA,lp,brain,67120
AAV.CAP-B22,RM-003,infant,9,RNA,lp,brain,56830
AAV.CAP-B22,RM-003,infant,1,RNA,lp,liver,27531
AAV.CAP-B10,RM-003,infant,1,RNA,lp,brain,3590
AAV.CAP-B10,RM-003,infant,2,RNA,lp,brain,1217
AAV.CAP-B10,RM-003,infant,3,RNA,lp,brain,267
AAV.CAP-B10,RM-003,infant,4,RNA,lp,brain,5559
AAV.CAP-B10,RM-003,infant,5,RNA,lp,brain,2792
AAV.CAP-B10,RM-003,infant,6,RNA,lp,brain,4635
AAV.CAP-B10,RM-003,infant,7,RNA,lp,brain,440067
AAV.CAP-B10,RM-003,infant,8,RNA,lp,brain,114
AAV.CAP-B10,RM-003,infant,9,RNA,lp,brain,33648
AAV.CAP-B10,RM-003,infant,1,RNA,lp,liver,209
